,week,region,cases
610,15,Beverly Crest,181
611,15,Beverly Hills,495
612,15,Beverlywood,132
613,15,Boyle Heights,344
614,15,Bradbury,0
615,15,Brentwood,362
616,15,Brookside,0
617,15,Burbank,625
618,15,Cadillac-Corning,10
619,15,Calabasas,150
620,15,Canoga Park,408
621,15,Canyon Country,80
622,15,Carson,941
623,15,Carthay,197
624,15,Castaic,50
625,15,Central,238
626,15,Century City,170
627,15,Century Palms/Cove,166
628,15,Cerritos,202
629,15,Chatsworth,225
630,15,Cheviot Hills,77
631,15,Chinatown,0
632,15,Claremont,62
633,15,Cloverdale/Cochran,73
634,15,Commerce,0
635,15,Compton,404
636,15,Country Club Park,129
637,15,Covina,347
638,15,Crenshaw District,88
639,15,Crestview,241
640,15,Cudahy,134
641,15,Culver City,391
642,15,Del Rey,211
643,15,Diamond Bar,115
644,15,Downey,618
645,15,Downtown,165
646,15,Duarte,68
647,15,Eagle Rock,212
648,15,East Hollywood,212
649,15,East Los Angeles,492
650,15,Echo Park,65
651,15,El Monte,173
652,15,El Segundo,99
653,15,El Sereno,199
654,15,Elysian Park,35
655,15,Elysian Valley,38
656,15,Encino,320
657,15,Exposition,0
658,15,Exposition Park,279
659,15,Faircrest Heights,0
660,15,Figueroa Park Square,45
661,15,Florence-Firestone,713
662,15,Gardena,346
663,15,Glassell Park,327
664,15,Glendale,1355
665,15,Glendora,128
666,15,Gramercy Place,57
667,15,Granada Hills,278
668,15,Green Meadows,87
669,15,Hacienda Heights,174
670,15,Hancock Park,311
671,15,Harbor City,154
672,15,Harbor Gateway,192
673,15,Harbor Pines,0
674,15,Harvard Heights,101
675,15,Harvard Park,155
676,15,Hawaiian Gardens,0
677,15,Hawthorne,532
678,15,Hermosa Beach,122
679,15,Hidden Hills,0
680,15,Highland Park,184
681,15,Historic Filipinotown,106
682,15,Hollywood,761
683,15,Hollywood Hills,307
684,15,Huntington Park,258
685,15,Hyde Park,105
686,15,Industry,0
687,15,Inglewood,687
688,15,Irwindale,0
689,15,Jefferson Park,0
690,15,Koreatown,300
691,15,La Canada Flintridge,182
692,15,La Habra Heights,0
693,15,La Mirada,131
694,15,La Puente,113
695,15,La Verne,53
696,15,Lafayette Square,42
697,15,Lake Balboa,211
698,15,Lake Los Angeles,0
699,15,Lakeview Terrace,101
700,15,Lakewood,264
701,15,Lancaster,531
702,15,Lawndale,154
703,15,Leimert Park,153
704,15,Lincoln Heights,102
705,15,Little Armenia,183
706,15,Little Bangladesh,183
707,15,Little Tokyo,0
708,15,Lomita,112
709,15,Longwood,0
710,15,Los Feliz,140
711,15,Lynwood,399
712,15,Malibu,83
713,15,Manchester Square,0
714,15,Mandeville Canyon,0
715,15,Manhattan Beach,364
716,15,Mar Vista,219
717,15,Marina Peninsula,55
718,15,Maywood,159
719,15,Melrose,1248
720,15,Mid-city,157
721,15,Miracle Mile,130
722,15,Mission Hills,108
723,15,Monrovia,88
724,15,Montebello,264
725,15,Monterey Park,181
726,15,Mt. Washington,80
727,15,North Hills,254
728,15,North Hollywood,752
729,15,Northridge,234
730,15,Norwalk,446
731,15,Pacific Palisades,212
732,15,Pacoima,315
733,15,Palisades Highlands,0
734,15,Palmdale,517
735,15,Palms,391
736,15,Palos Verdes Estates,213
737,15,Panorama City,374
738,15,Paramount,227
739,15,Park La Brea,63
740,15,Pasadena,33
741,15,Pico Rivera,329
742,15,Pico-Union,277
743,15,Playa Del Rey,0
744,15,Playa Vista,108
745,15,Pomona,288
746,15,Porter Ranch,178
747,15,Rancho Palos Verdes,250
748,15,Rancho Park,58
749,15,Redondo Beach,534
750,15,Regent Square,0
751,15,Reseda,404
752,15,Reseda Ranch,36
753,15,Reynier Village,25
754,15,Rolling Hills,0
755,15,Rolling Hills Estates,62
756,15,Rosemead,82
757,15,Rowland Heights,84
758,15,San Dimas,112
759,15,San Fernando,117
760,15,San Gabriel,87
761,15,San Marino,37
762,15,San Pedro,268
763,15,Santa Clarita,874
764,15,Santa Fe Springs,17
765,15,Santa Monica,584
766,15,Santa Monica Mountains,2442
767,15,Shadow Hills,47
768,15,Sherman Oaks,478
769,15,Sierra Madre,0
770,15,Signal Hill,0
771,15,Silverlake,474
772,15,South Carthay,139
773,15,South El Monte,46
774,15,South Gate,559
775,15,South Park,224
776,15,South Pasadena,86
777,15,South Whittier,165
778,15,St Elmo Village,0
779,15,Stevenson Ranch,69
780,15,Studio City,152
781,15,Sun Valley,188
782,15,Sunland,167
783,15,Sycamore Square,0
784,15,Sylmar,619
785,15,Tarzana,287
786,15,Temple City,79
787,15,Temple-Beaudry,288
788,15,Thai Town,58
789,15,Toluca Lake,45
