,month,region,cases
778,6,Culver City,7452
779,6,Del Rey,2946
780,6,Diamond Bar,2975
781,6,Downey,32950
782,6,Downtown,6261
783,6,Duarte,6506
784,6,Eagle Rock,7157
785,6,East Hollywood,8018
786,6,East Los Angeles,52048
787,6,Echo Park,1957
788,6,El Monte,29659
789,6,El Segundo,2570
790,6,El Sereno,8794
791,6,Elysian Park,577
792,6,Elysian Valley,2466
793,6,Encino,4859
794,6,Exposition,511
795,6,Exposition Park,10874
796,6,Faircrest Heights,251
797,6,Figueroa Park Square,2042
798,6,Florence-Firestone,54056
799,6,Gardena,11301
800,6,Glassell Park,7062
801,6,Glendale,35338
802,6,Glendora,6486
803,6,Gramercy Place,2700
804,6,Granada Hills,13298
805,6,Green Meadows,7770
806,6,Hacienda Heights,6922
807,6,Hancock Park,2965
808,6,Harbor City,4449
809,6,Harbor Gateway,6392
810,6,Harbor Pines,270
811,6,Harvard Heights,5402
812,6,Harvard Park,13677
813,6,Hawaiian Gardens,3660
814,6,Hawthorne,21352
815,6,Hermosa Beach,1442
816,6,Hidden Hills,101
817,6,Highland Park,9978
818,6,Historic Filipinotown,5399
819,6,Hollywood,10598
820,6,Hollywood Hills,2892
821,6,Huntington Park,24424
822,6,Hyde Park,6173
823,6,Industry,370
824,6,Inglewood,23785
825,6,Irwindale,202
826,6,Jefferson Park,2008
827,6,Koreatown,11538
828,6,La Canada Flintridge,3013
829,6,La Habra Heights,360
830,6,La Mirada,8094
831,6,La Puente,7647
832,6,La Verne,1983
833,6,Lafayette Square,763
834,6,Lake Balboa,7893
835,6,Lake Los Angeles,3063
836,6,Lakeview Terrace,4912
837,6,Lakewood,8867
838,6,Lancaster,25803
839,6,Lawndale,6638
840,6,Leimert Park,2321
841,6,Lincoln Heights,11373
842,6,Little Armenia,6836
843,6,Little Bangladesh,5745
844,6,Little Tokyo,941
845,6,Lomita,1853
846,6,Longwood,1006
847,6,Los Feliz,1952
848,6,Lynwood,28827
849,6,Malibu,1287
850,6,Manchester Square,1065
851,6,Mandeville Canyon,84
852,6,Manhattan Beach,2844
853,6,Mar Vista,2981
854,6,Marina Peninsula,492
855,6,Maywood,13665
856,6,Melrose,21240
857,6,Mid-city,4162
858,6,Miracle Mile,1535
859,6,Mission Hills,6348
860,6,Monrovia,6256
861,6,Montebello,18561
862,6,Monterey Park,7062
863,6,Mt. Washington,4052
864,6,North Hills,18568
865,6,North Hollywood,28431
866,6,Northridge,13667
867,6,Norwalk,23127
868,6,Pacific Palisades,1857
869,6,Pacoima,30829
870,6,Palisades Highlands,208
871,6,Palmdale,29233
872,6,Palms,6892
873,6,Palos Verdes Estates,1376
874,6,Panorama City,31170
875,6,Paramount,17152
876,6,Park La Brea,784
877,6,Pasadena,2469
878,6,Pico Rivera,21698
879,6,Pico-Union,22835
880,6,Playa Del Rey,131
881,6,Playa Vista,1648
882,6,Pomona,27783
883,6,Porter Ranch,3414
884,6,Rancho Palos Verdes,3364
885,6,Rancho Park,623
886,6,Redondo Beach,4996
887,6,Regent Square,283
888,6,Reseda,23437
889,6,Reseda Ranch,998
890,6,Reynier Village,483
891,6,Rolling Hills,60
892,6,Rolling Hills Estates,525
893,6,Rosemead,5226
894,6,Rowland Heights,5979
895,6,San Dimas,2924
896,6,San Fernando,7367
897,6,San Gabriel,5581
898,6,San Marino,742
899,6,San Pedro,32207
900,6,Santa Clarita,27793
901,6,Santa Fe Springs,3141
902,6,Santa Monica,10169
903,6,Santa Monica Mountains,62370
904,6,Shadow Hills,412
905,6,Sherman Oaks,8936
906,6,Sierra Madre,607
907,6,Signal Hill,1687
908,6,Silverlake,6974
909,6,South Carthay,1241
910,6,South El Monte,7584
911,6,South Gate,34088
912,6,South Park,18800
913,6,South Pasadena,4230
914,6,South Whittier,8984
915,6,St Elmo Village,1573
916,6,Stevenson Ranch,2428
917,6,Studio City,2767
918,6,Sun Valley,12305
919,6,Sunland,5569
920,6,Sycamore Square,30
921,6,Sylmar,31329
922,6,Tarzana,8468
923,6,Temple City,5924
924,6,Temple-Beaudry,13076
925,6,Thai Town,1296
926,6,Toluca Lake,711
927,6,Toluca Terrace,227
928,6,Toluca Woods,95
929,6,Torrance,13985
930,6,Tujunga,4476
931,6,University Hills,483
932,6,University Park,8406
933,6,Valinda,8801
934,6,Valley Glen,5277
935,6,Valley Village,7629
936,6,Van Nuys,29386
937,6,Venice,2328
938,6,Vermont Knolls,7400
939,6,Vermont Square,3523
940,6,Vermont Vista,16680
941,6,Vernon,261
942,6,Vernon Central,28874
943,6,Victoria Park,2157
944,6,View Heights,354
945,6,Walnut,2003
946,6,Watts,14876
947,6,Wellington Square,1042
948,6,West Adams,9626
949,6,West Covina,17927
950,6,West Hills,5541
951,6,West Hollywood,6321
952,6,West Los Angeles,4321
953,6,West Vernon,21037
954,6,West Whittier/Los Nietos,7573
955,6,Westchester,3797
956,6,Westlake,31990
957,6,Westlake Village,206
958,6,Westwood,2893
959,6,Whittier,15058
960,6,Wholesale District,29922
961,6,Willowbrook,13908
962,6,Wilmington,12467
963,6,Wilshire Center,10345
964,6,Winnetka,11441
965,6,Woodland Hills,6574
966,7,Acton,4196
967,7,Adams-Normandie,4171
968,7,Agoura Hills,1857
969,7,Alhambra,20816
970,7,Alsace,6610
971,7,Altadena,10577
972,7,Angeles National Forest,62
973,7,Angelino Heights,1069
974,7,Arcadia,7609
975,7,Arleta,21926
976,7,Artesia,5297
977,7,Atwater Village,3819
978,7,Avalon,327
979,7,Azusa,31080
980,7,Baldwin Hills,11056
981,7,Baldwin Park,45373
982,7,Bassett,25318
983,7,Bel Air,1663
984,7,Bell,27193
985,7,Bell Gardens,32077
986,7,Bellflower,40564
987,7,Beverly Crest,2086
988,7,Beverly Hills,13140
989,7,Beverlywood,2753
990,7,Boyle Heights,76395
991,7,Bradbury,240
992,7,Brentwood,5098
993,7,Brookside,31
994,7,Burbank,23971
995,7,Cadillac-Corning,2158
996,7,Calabasas,5073
997,7,Canoga Park,31597
998,7,Canyon Country,4308
999,7,Carson,37667
1000,7,Carthay,4655
1001,7,Castaic,56625
1002,7,Central,40272
1003,7,Century City,2318
1004,7,Century Palms/Cove,26778
1005,7,Cerritos,10249
1006,7,Chatsworth,11792
1007,7,Cheviot Hills,1284
1008,7,Chinatown,1824
1009,7,Claremont,5717
1010,7,Cloverdale/Cochran,5694
1011,7,Commerce,9436
1012,7,Compton,76617
1013,7,Country Club Park,5835
1014,7,Covina,33931
1015,7,Crenshaw District,5323
1016,7,Crestview,4175
1017,7,Cudahy,19698
1018,7,Culver City,12383
1019,7,Del Rey,5981
1020,7,Diamond Bar,8924
1021,7,Downey,73823
1022,7,Downtown,13477
1023,7,Duarte,13637
1024,7,Eagle Rock,12496
1025,7,East Hollywood,12699
1026,7,East Los Angeles,108143
1027,7,Echo Park,3598
1028,7,El Monte,72267
1029,7,El Segundo,5799
1030,7,El Sereno,19574
1031,7,Elysian Park,1543
1032,7,Elysian Valley,4556
1033,7,Encino,9392
1034,7,Exposition,1450
1035,7,Exposition Park,22137
1036,7,Faircrest Heights,629
1037,7,Figueroa Park Square,5062
1038,7,Florence-Firestone,111757
1039,7,Gardena,21095
1040,7,Glassell Park,11875
1041,7,Glendale,57891
1042,7,Glendora,20385
1043,7,Gramercy Place,4280
1044,7,Granada Hills,20785
1045,7,Green Meadows,15671
1046,7,Hacienda Heights,17319
